epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
91,2206,379428.00017016,1334568228.00017,-2399703.56099885,5383203.984997,2429700.50900107,22.5395106994271,114.026169403112,4.82213961161448,0.00673509481277975,-0.0176135303934864,0.0062594709142844,0.0198690445463836,1
92,2206,379429.000172075,1334568229.00017,-2399703.5749988,5383203.9669973,2429700.51700082,22.5395108033266,114.026169598662,4.81528639021462,0.00696536241924876,-0.0157040571557383,0.00473228954108123,0.0178193223519528,1
93,2206,379430.000174032,1334568230.00017,-2399703.58800104,5383203.91900191,2429700.46500203,22.5395105030448,114.026169904078,4.75975515161708,-0.00599843222353871,0.0109487271424619,0.0116033880755393,0.0170438971485995,1
94,2206,379431.000175959,1334568231.00018,-2399703.5970003,5383203.89000153,2429700.40700139,22.5395100982911,114.026170098767,4.71644201046954,-0.00169973817456089,0.00871987122177855,0.00788163498088919,0.0118762550477176,1
95,2206,379432.000177881,1334568232.00018,-2399703.61300079,5383203.9250022,2429700.38700135,22.5395097982703,114.026170102302,4.74431894708122,-0.004441842782057,0.0123903940724505,0.00757215424979482,0.0151851688352094,1
96,2206,379433.000179795,1334568233.00018,-2399703.6410001,5383203.96300111,2429700.37100121,22.539509505221,114.026170200506,4.78077062440022,-0.000574470560386241,0.00619599243124081,0.00670479974473442,0.00914738641633415,1
97,2206,379434.000181714,1334568234.00018,-2399703.65499882,5383203.99399779,2429700.32400033,22.5395089954782,114.026170202115,4.79416708014368,0.00650802740533917,-0.0121181780464694,0.00179878007899256,0.0138722842260083,1
98,2206,379435.00018363,1334568235.00018,-2399703.65799876,5383204.02699812,2429700.26600105,22.5395084031691,114.026170098134,4.80090175275198,0.00674293653953094,-0.0102454047688888,0.005702393867535,0.0135260048748701,1
99,2206,379436.000185545,1334568236.00019,-2399703.67899957,5383204.04899903,2429700.19400016,22.5395077034845,114.02617019752,4.79975958966154,0.00230122035260119,-0.00519570649104818,0.000910219652438846,0.00575495272509097,1
100,2206,379437.000187459,1334568237.00019,-2399703.71499725,5383204.10299568,2429700.24399952,22.5395078990572,114.026170303422,4.87801361437713,0.014636283219593,-0.023016289332174,-0.0025453211028872,0.0273943246060802,1
101,2206,379438.000189377,1334568238.00019,-2399703.74099856,5383204.16299769,2429700.27100011,22.5395078979091,114.026170296797,4.94875865629295,0.00760128785004692,-0.0121167693322525,0.000612301968261888,0.0143167939752803,1
102,2206,379439.00019129,1334568239.00019,-2399703.77699805,5383204.26799611,2429700.31699902,22.5395078988656,114.026170200848,5.06850464737068,0.0101726220027529,-0.02028199591188,-0.00512220729593769,0.0232610963663145,1
